[28-Feb-2025 10:13:45 Asia/Kolkata] PHP Warning:  Undefined array key "guestMobileNumber" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\edit\update_guest_personal_info.php on line 17
[28-Feb-2025 10:13:45 Asia/Kolkata] PHP Warning:  Undefined array key "guestEmailId" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\edit\update_guest_personal_info.php on line 18
[28-Feb-2025 10:14:19 Asia/Kolkata] PHP Warning:  Undefined array key "guestName" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\edit\update_guest_personal_info.php on line 17
[28-Feb-2025 10:14:20 Asia/Kolkata] PHP Warning:  Undefined array key "guestMobileNumber" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\edit\update_guest_personal_info.php on line 18
[28-Feb-2025 10:14:20 Asia/Kolkata] PHP Warning:  Undefined array key "guestEmailId" in E:\xampp\htdocs\vehicle_rental_app\modules\guest_registration\edit\update_guest_personal_info.php on line 19
[28-Feb-2025 14:03:33 Asia/Kolkata] PHP Warning:  Undefined variable $params_procedures in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 21
[28-Feb-2025 14:03:33 Asia/Kolkata] PHP Warning:  Undefined array key "vehicle_rental_app_login_id" in E:\xampp\htdocs\vehicle_rental_app\config\globalFunctions.php on line 26
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Undefined variable $check_username_existence_response in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 23
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 23
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 23
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 23
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Undefined variable $check_username_existence_response in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Undefined variable $check_username_existence_response in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Undefined variable $check_username_existence_response in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 14:05:50 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 36
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 46
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 46
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 46
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:01:16 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:27:24 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 50
[28-Feb-2025 16:27:24 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 50
[28-Feb-2025 16:27:24 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 52
[28-Feb-2025 16:27:24 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 55
[28-Feb-2025 16:27:24 Asia/Kolkata] PHP Warning:  Undefined variable $image_url in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 56
[28-Feb-2025 16:27:47 Asia/Kolkata] PHP Warning:  Undefined array key 0 in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 51
[28-Feb-2025 16:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 51
[28-Feb-2025 16:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 53
[28-Feb-2025 16:27:47 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 56
[28-Feb-2025 16:27:47 Asia/Kolkata] PHP Warning:  Undefined variable $image_url in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:28:57 Asia/Kolkata] PHP Warning:  Undefined variable $image_url in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:31:15 Asia/Kolkata] PHP Warning:  Undefined variable $image_url in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:34:16 Asia/Kolkata] PHP Warning:  Undefined variable $image_url in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[28-Feb-2025 16:36:49 Asia/Kolkata] PHP Warning:  Undefined variable $image_url in E:\xampp\htdocs\vehicle_rental_app\modules\login\index.php on line 57
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 72
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 72
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 72
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Undefined array key "particulars" in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
[06-Mar-2025 10:21:48 Asia/Kolkata] PHP Warning:  Trying to access array offset on value of type null in E:\xampp\htdocs\vehicle_rental_app\modules\vehicles\add\create_customer_vehicle_basic_info.php on line 76
